"id","name","Common Name","edible or poisonous?"
214,"Phormium tenax","Common Name","edible or poisonous?"
215,"Euphorbia albomarginata","Rattlesnake weed","poisonous plant"
216,"Ornithogalum umbellatum","Common Name","edible or poisonous?"
217,"Punica granatum","Common Name","edible or poisonous?"
218,"Olea europaea","Common Name","edible or poisonous?"
219,"Ruscus aculeatus","Common Name","edible or poisonous?"
220,"Datura wrightii","Sacred datura","poisonous"
221,"Justicia californica","Common Name","edible or poisonous?"
222,"Anemopsis californica","Common Name","edible or poisonous?"
223,"Sphaeralcea ambigua","Common Name","edible or poisonous?"
224,"Hedycarya arborea","Pigeonwood","not edible"
225,"Abronia villosa","Common Name","edible or poisonous?"
226,"Bloomeria crocea","Common Name","edible or poisonous?"
227,"Haloragis erecta","Common Name","edible or poisonous?"
228,"Calochortus splendens","Splendid Mariposa Lily","edible roots"
229,"Hesperoyucca whipplei","Chaparral Yucca","edible flowers"
230,"Quercus muehlenbergii","Chinkapin Oak","edible acorns"
231,"Hyptis emoryi","Common Name","edible or poisonous?"
232,"Ludwigia octovalvis","Common Name","edible or poisonous?"
233,"Bromus tectorum","Common Name","edible or poisonous?"
234,"Distichlis spicata","Common Name","edible or poisonous?"
235,"Argemone ochroleuca","Common Name","edible or poisonous?"
236,"Opuntia engelmannii lindheimeri","Texas prickly Pear","edible fruits"
237,"Sorghum halepense","Common Name","edible or poisonous?"
238,"Bidens pilosa","Common Name","edible or poisonous?"
239,"Saponaria officinalis","Common Name","edible or poisonous?"
240,"Rhus virens","Evergreen sumac","edible berries"
241,"Castilleja indivisa","Common Name","edible or poisonous?"
242,"Coreopsis tripteris","Common Name","edible or poisonous?"
243,"Arbutus unedo","Common Name","edible or poisonous?"
244,"Dalea candida","Common Name","edible or poisonous?"
245,"Chondracanthus exasperatus","Common Name","edible or poisonous?"
246,"Oxalis acetosella","Common Name","edible or poisonous?"
247,"Pilosella officinarum","Common Name","edible or poisonous?"
248,"Euphorbia maculata","Spotted spurge","poisonous and carcinogenic"
249,"Silphium perfoliatum","Common Name","edible or poisonous?"
250,"Parthenocissus quinquefolia","Virginia Creeper","Poisonous"
251,"Earina mucronata","Common Name","edible or poisonous?"
252,"Rhododendron maximum","Great Laurel","poisonous"
253,"Castilleja coccinea","Common Name","edible or poisonous?"
254,"Lygodium japonicum","Common Name","edible or poisonous?"
255,"Fragaria vesca","Wild Strawberry","edible fruit"
256,"Galinsoga quadriradiata","Common Name","edible or poisonous?"
257,"Gelsemium sempervirens","Common Name","edible or poisonous?"
258,"Syringa vulgaris","Common Name","edible or poisonous?"
259,"Magnolia grandiflora","Common Name","edible or poisonous?"
260,"Aquilegia caerulea","Common Name","edible or poisonous?"
261,"Calochortus nuttallii","Sego Lily","edible roots"
262,"Phlegmariurus varius","Common Name","edible or poisonous?"
263,"Fraxinus nigra","Black Ash","edible seeds"
264,"Lathyrus vestitus","Common Name","edible or poisonous?"
265,"Serenoa repens","Common Name","edible or poisonous?"
266,"Agave lechuguilla","Common Name","edible or poisonous?"
267,"Actaea racemosa","Common Name","edible or poisonous?"
268,"Euonymus americanus","Common Name","edible or poisonous?"
269,"Zizia aurea","Golden Alexander","edible flowers"
270,"Cirsium muticum","Swamp thistle","edible root"
271,"Crocosmia × crocosmiiflora","Common Name","edible or poisonous?"
272,"Mammillaria heyderi","Common Name","edible or poisonous?"
273,"Sambucus nigra","Elder","edible berries when cooked"
274,"Marshallia caespitosa","Common Name","edible or poisonous?"
275,"Bouteloua dactyloides","Common Name","edible or poisonous?"
276,"Pelargonium × hortorum","Common Name","edible or poisonous?"
277,"Fuscospora cliffortioides","Common Name","edible or poisonous?"
278,"Stachys bullata","Common Name","edible or poisonous?"
279,"Centaurea stoebe micranthos","Common Name","edible or poisonous?"
280,"Matelea biflora","Common Name","edible or poisonous?"
281,"Baccharis sarothroides","Common Name","edible or poisonous?"
282,"Spiranthes romanzoffiana","Common Name","edible or poisonous?"
283,"Matelea reticulata","Common Name","edible or poisonous?"
284,"Ileostylus micranthus","Common Name","edible or poisonous?"
285,"Medicago sativa","Common Name","edible or poisonous?"
286,"Pinus sylvestris","Common Name","edible or poisonous?"
287,"Hoheria populnea","Common Name","edible or poisonous?"
288,"Pinus banksiana","Common Name","edible or poisonous?"
289,"Juniperus communis","Common Name","edible or poisonous?"
290,"Berberis thunbergii","Japanese barberry","edible berry"
291,"Toxicodendron rydbergii","Western Poison Ivy","Poisonous"
292,"Thunbergia alata","Common Name","edible or poisonous?"
293,"Toxicodendron radicans","Poison Ivy","Poisonous"
294,"Lycium ferocissimum","Common Name","edible or poisonous?"
295,"Rhus aromatica","Fragrant Sumac","edible berries"
296,"Cornus amomum","Silky dogwood","edible fruit"
297,"Cystopteris fragilis","Brittle bladderfern","edible root"
298,"Selaginella bigelovii","Common Name","edible or poisonous?"
299,"Pinus sabiniana","Common Name","edible or poisonous?"
300,"Elaeagnus umbellata","Autumn Olive","edible fruit"
301,"Parnassia palustris","Common Name","edible or poisonous?"
302,"Rosa multiflora","Baby Rose","edible fruit"
303,"Asclepias eriocarpa","Common Name","edible or poisonous?"
304,"Brickellia californica","Common Name","edible or poisonous?"
305,"Lupinus nanus","Sky lupine","Poisonous"
306,"Tussilago farfara","Common Name","edible or poisonous?"
307,"Lupinus bicolor","Miniature Lupine","Toxic"
308,"Mirabilis jalapa","Common Name","edible or poisonous?"
309,"Fritillaria affinis","Common Name","edible or poisonous?"
310,"Cotula coronopifolia","Common Name","edible or poisonous?"
311,"Ptelea trifoliata","Common Name","edible or poisonous?"
312,"Cooperia drummondii","Common Name","edible or poisonous?"
313,"Deinandra fasciculata","Common Name","edible or poisonous?"
314,"Erysimum capitatum","Common Name","edible or poisonous?"
315,"Juniperus virginiana","Common Name","edible or poisonous?"
316,"Actaea pachypoda","Common Name","edible or poisonous?"
317,"Solanum umbelliferum","Bluewitch nightshade","poisonous plant"
318,"Delphinium nudicaule","Common Name","edible or poisonous?"
319,"Salvia mellifera","Black Sage","edible plant"
320,"Calystegia soldanella","Common Name","edible or poisonous?"
321,"Nemophila menziesii","Common Name","edible or poisonous?"
322,"Dichelostemma capitatum","Common Name","edible or poisonous?"
323,"Diospyros virginiana","Common Name","edible or poisonous?"
324,"Abronia maritima","Common Name","edible or poisonous?"
325,"Clematis vitalba","Common Name","edible or poisonous?"
326,"Dracopis amplexicaulis","Common Name","edible or poisonous?"
327,"Achlys triphylla","Common Name","edible or poisonous?"
328,"Decodon verticillatus","Common Name","edible or poisonous?"
329,"Sedum spathulifolium","Common Name","edible or poisonous?"
330,"Arctostaphylos pungens","Pointleaf Manzanita","edible fruit"
331,"Orchis mascula","Common Name","edible or poisonous?"
332,"Corallorhiza striata","Common Name","edible or poisonous?"
333,"Lupinus hirsutissimus","Stinging annual lupine","Toxic"
334,"Melilotus albus","Common Name","edible or poisonous?"
335,"Epipactis helleborine","Common Name","edible or poisonous?"
336,"Goodyera oblongifolia","Common Name","edible or poisonous?"
337,"Heliotropium indicum","Common Name","edible or poisonous?"
338,"Geranium carolinianum","Carolina geranium","edible plant"
339,"Allionia incarnata","Common Name","edible or poisonous?"
340,"Rhynchospora colorata","Common Name","edible or poisonous?"
341,"Plantago coronopus","Buck's-horn plantain","edible seeds"
342,"Plantago major","Broadleaf plantain","edible seeds"
343,"Dryas octopetala","Common Name","edible or poisonous?"
344,"Viburnum prunifolium","Blackhaw","edible fruit"
345,"Ozothamnus leptophyllus","Common Name","edible or poisonous?"
346,"Linaria vulgaris","Common Name","edible or poisonous?"
347,"Triphysaria eriantha","Common Name","edible or poisonous?"
348,"Allium validum","Swamp Onion","edible roots"
349,"Allium vineale","Wild Garlic","edible roots"
350,"Alnus incana","Common Name","edible or poisonous?"
351,"Trillium sessile","Common Name","edible or poisonous?"
352,"Uropappus lindleyi","Common Name","edible or poisonous?"
353,"Packera aurea","Common Name","edible or poisonous?"
354,"Scrophularia californica","Common Name","edible or poisonous?"
355,"Dodecatheon meadia","Common Name","edible or poisonous?"
356,"Collinsia parviflora","Common Name","edible or poisonous?"
357,"Trillium chloropetalum","Common Name","edible or poisonous?"
358,"Viola pedunculata","Common Name","edible or poisonous?"
